sid,model_name,holdout_celltype,n_deg,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse
C57BL6J-2.039,cellina-graph,glutamatergic neuron_Isocortex,200,0.912850821270532,0.9584807753562927,0.675,1.0,0.675,0.99,0.7155239327296248,39.01091194152832,43.7955020904541,8.30945348739624,328.0574005126953,3.859767198562622
C57BL6J-2.039,cellina-graph,oligodendrocyte_Fiber_tracts,200,0.7722928073201831,0.8269785046577454,0.505,0.9900990099009901,0.5,0.925,0.9160873104231163,31.650343322753905,32.46239471435547,6.604736804962158,178.94309692382814,3.6718862056732178
C57BL6J-2.039,cellina-graph,oligodendrocyte_Isocortex,200,0.8478226955673894,0.6150704026222229,0.63,1.0,0.63,0.935,0.6440790255389169,30.42054862976074,31.678739929199217,6.9775693893432615,310.8873626708984,3.7163782119750977
C57BL6J-2.039,cpa,GABAergic neuron_Fiber_tracts,200,0.6973689342233557,0.7593320608139038,0.42,0.9880952380952381,0.415,0.87,0.8172213469389745,28.403474044799804,34.547019958496094,7.092801761627197,396.7648681640625,3.013650417327881
C57BL6J-2.039,cpa,GABAergic neuron_Isocortex,200,0.8319837995949899,0.8907666206359863,0.585,1.0,0.585,0.95,0.9715086177637628,29.377134704589842,34.49502182006836,6.499078464508057,249.02664184570312,3.0113229751586914
C57BL6J-2.039,cpa,astrocyte_Fiber_tracts,200,0.7003315082877073,0.6944945454597473,0.35,0.9428571428571428,0.33,0.82,0.7526625362716649,27.002174377441406,26.519217681884765,6.4903178215026855,578.4525573730468,3.4046502113342285
C57BL6J-2.039,cpa,astrocyte_Isocortex,200,0.8383979599489988,0.8600072264671326,0.485,1.0,0.485,0.935,0.20422827008192862,28.53438949584961,28.188866424560548,7.727597618103028,481.47492065429685,3.40252685546875
C57BL6J-2.039,cpa,endothelial cell_Fiber_tracts,200,0.625976149403735,0.5066134929656982,0.475,0.9368421052631579,0.445,0.82,0.9486126323475722,25.41173896789551,25.542695999145508,5.438442707061768,179.02476196289064,3.416973829269409
C57BL6J-2.039,cpa,endothelial cell_Isocortex,200,0.8948758718967975,0.8705633878707886,0.64,1.0,0.64,0.955,0.9139104187450439,27.706695556640625,27.51905975341797,4.972871780395508,94.09127502441406,3.3807897567749023
C57BL6J-2.039,cpa,glutamatergic neuron_Fiber_tracts,200,0.7526363159078978,0.8326707482337952,0.45,0.9888888888888889,0.445,0.94,0.6547630786708322,30.6258903503418,38.56814804077148,11.284932899475098,615.9565124511719,3.9734625816345215
