dataset_name,sid,control_domain,target_domain,n_deg,model_name,holdout_celltype,spearman,pearson,precision,direction_match,direction_match_k,direction_match_gt,mixing_index,edistance_global,edistance_local,edistance_pca_log,edistance_pca,rmse,mse_lfc,top_n_perturb,nb_deviance
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-gat-pert,oligodendrocyte,0.5979831932773109,0.5595611,0.42,1.0,0.42,0.82,0.9361306261033316,34.360439682006835,34.08330955505371,7.886422061920166,195.73087463378906,6208.421,91.86716,200,0.013022065469704833
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-gat-pert,oligodendrocyte,0.4680432172869148,0.6197561,0.34,1.0,0.34,0.92,0.8463547446061185,31.093905448913574,30.505385208129884,7.202651882171631,169.79745483398438,6649.6646,15.357898,200,0.0109058106229388
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-gat-pert,astrocyte,0.89906362545018,0.9138953,0.48,1.0,0.48,0.98,0.9652476323552244,37.682054138183595,37.14026565551758,7.223360538482666,237.4619598388672,3186.092,8.382144,200,0.019739634754196912
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-gat-pert,astrocyte,0.36739495798319327,0.509459,0.32,0.875,0.28,0.74,0.7540197361784157,35.61687049865723,36.00921096801758,6.381466865539551,407.6616271972656,3809.7097,117.601524,200,0.02973740887214374
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-gat-pert,GABAergic neuron,0.9393037214885953,0.96978986,0.62,1.0,0.62,1.0,0.7126284049675474,41.79111824035645,46.53196487426758,9.346221256256104,369.1164611816406,1314.3083,5.953345,200,0.07333272556362626
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-gat-pert,GABAergic neuron,0.8644897959183673,0.91110665,0.66,1.0,0.66,0.98,0.8668478260869564,40.03403244018555,43.54397430419922,9.182113075256348,733.8778442382812,866.79816,11.780052,200,0.053477819704122305
merfish,C57BL6J-2.036,Thalamus,Isocortex,50,cellina-gat-pert,endothelial cell,0.9253781512605042,0.93527716,0.7,1.0,0.7,0.96,0.9791459527309363,35.88964958190918,37.05685920715332,7.303940868377685,227.88152160644532,2730.0007,19.017105,200,0.007862731913719972
merfish,C57BL6J-2.036,Thalamus,Fiber_tracts,50,cellina-gat-pert,endothelial cell,0.6678031212484994,0.9900219,0.14,1.0,0.14,0.86,0.7573874514986699,32.6324348449707,33.32836761474609,6.393074703216553,290.2903778076172,3890.7512,277.8509,200,0.0090235705785889
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-gat-pert,glutamatergic neuron,0.836830732292917,0.94892114,0.46,1.0,0.46,0.98,0.7026096240887699,40.26986808776856,48.40648727416992,13.178541469573975,545.057666015625,14623.752,12.437941,200,0.16918534675146807
merfish,C57BL6J-2.039,Thalamus,Fiber_tracts,50,cellina-gat-pert,glutamatergic neuron,0.5119327731092437,0.8246208,0.42,1.0,0.42,0.98,0.4723330871911389,40.051139450073244,48.519778442382815,11.52048463821411,614.8331909179688,15648.946,7.181425,200,0.10809314981612539
merfish,C57BL6J-2.039,Thalamus,Isocortex,50,cellina-gat-pert,oligodendrocyte,0.5830012004801921,0.5857064,0.54,1.0,0.54,0.86,0.6031548285583636,28.643634223937987,29.88513641357422,6.105720043182373,220.52266845703124,7285.9194,84.75934,200,0.016746875803019274
