KO,type,baseline,Pearson,Precision,E-distance,RMSE_LFC,seed,model
PELI1,full,terra-lora-ep5,0.12307917326688766,0.5,1.593275973974335,0.5509193539619446,2,terra
PELI1,KO-specific,terra-lora-ep5,0.24926486611366272,0.6,1.567269157374756,0.46052294969558716,2,terra
IRF3,full,terra-lora-ep5,0.7273512482643127,0.8,1.6654565699535084,0.3865199089050293,2,terra
IRF3,KO-specific,terra-lora-ep5,0.1580684930086136,0.6,1.6680022094561138,0.3654691278934479,2,terra
IRF5,full,terra-lora-ep5,0.38981860876083374,0.6,1.477305577263716,0.38596436381340027,2,terra
IRF5,KO-specific,terra-lora-ep5,0.3674072325229645,0.6,1.5291330238074055,0.3236975371837616,2,terra
NFKBIA,full,terra-lora-ep5,-0.052793629467487335,0.5,1.7160342444671222,0.6771254539489746,2,terra
NFKBIA,KO-specific,terra-lora-ep5,-0.355160653591156,0.4,1.7282532834166076,0.5686051249504089,2,terra
LBP,full,terra-lora-ep5,0.1596924513578415,0.4,1.7960016542915902,0.5092639327049255,2,terra
LBP,KO-specific,terra-lora-ep5,-0.294420450925827,0.4,1.7519326055384021,0.43143001198768616,2,terra
MAP2K3,full,terra-lora-ep5,0.18866589665412903,0.6,1.4872813165540744,0.5852624177932739,2,terra
MAP2K3,KO-specific,terra-lora-ep5,0.5601329803466797,0.8,1.6223886800460725,0.3409478962421417,2,terra
MAP2K2,full,terra-lora-ep5-random,-0.14045479893684387,0.54,1.638588281960565,0.7989538311958313,2,terra
MAP2K2,KO-specific,terra-lora-ep5-random,-0.4588724672794342,0.44000000000000006,1.6349428572605156,0.7985594868659973,2,terra
IRAK1,full,terra-lora-ep5-random,-0.2182721346616745,0.4,1.9513122539722592,0.7224541306495667,2,terra
IRAK1,KO-specific,terra-lora-ep5-random,0.019793272018432617,0.6,1.937695306491123,0.47633999586105347,2,terra
IRF7,full,terra-lora-ep5-random,0.2878877520561218,0.5,1.5731236853524986,0.5423330664634705,2,terra
IRF7,KO-specific,terra-lora-ep5-random,0.00818350538611412,0.52,1.5531628532673838,0.4446331560611725,2,terra
PELI1,full,terra-lora-ep5-random,0.14342311024665833,0.48,1.5452145834559843,0.5566705465316772,2,terra
PELI1,KO-specific,terra-lora-ep5-random,0.27652668952941895,0.6,1.5726791323569997,0.4796164631843567,2,terra
IRF3,full,terra-lora-ep5-random,0.7121143937110901,0.9,1.5864188037098665,0.42128628492355347,2,terra
IRF3,KO-specific,terra-lora-ep5-random,0.0919995903968811,0.6399999999999999,1.5639369036657444,0.3732765018939972,2,terra
IRF5,full,terra-lora-ep5-random,0.21854130923748016,0.6,1.471552758351436,0.4175509512424469,2,terra
IRF5,KO-specific,terra-lora-ep5-random,0.3121190071105957,0.6,1.479639823885042,0.33284682035446167,2,terra
NFKBIA,full,terra-lora-ep5-random,-0.1124548465013504,0.4,1.7118014292256358,0.6810580492019653,2,terra
NFKBIA,KO-specific,terra-lora-ep5-random,-0.4620017111301422,0.28,1.750987150521114,0.5762721300125122,2,terra
LBP,full,terra-lora-ep5-random,0.21424441039562225,0.5,1.7179694039335511,0.5041911005973816,2,terra
LBP,KO-specific,terra-lora-ep5-random,-0.19018864631652832,0.4,1.6824040797082371,0.4113389849662781,2,terra
MAP2K3,full,terra-lora-ep5-random,0.2616216540336609,0.6,1.6491608823154966,0.5664240717887878,2,terra
MAP2K3,KO-specific,terra-lora-ep5-random,0.6045612096786499,0.7,1.5635470025934817,0.3152046203613281,2,terra
MAP2K2,full,terra-lora-ep5,0.5283611416816711,0.9,1.7650487113699946,0.6839945316314697,3,terra
MAP2K2,KO-specific,terra-lora-ep5,0.744430422782898,1.0,1.6996459773692187,0.542356014251709,3,terra
IRAK1,full,terra-lora-ep5,0.10238204151391983,0.5,2.1237079755197588,0.6149081587791443,3,terra
IRAK1,KO-specific,terra-lora-ep5,0.5318201184272766,0.8,2.154751603759391,0.4113232493400574,3,terra
IRF7,full,terra-lora-ep5,0.5636497139930725,0.6,1.7389100010207037,0.47922012209892273,3,terra
IRF7,KO-specific,terra-lora-ep5,0.37502333521842957,0.6,1.7721733218127316,0.33391356468200684,3,terra
PELI1,full,terra-lora-ep5,0.006828479468822479,0.7,1.6915774519533702,0.5352975130081177,3,terra
PELI1,KO-specific,terra-lora-ep5,-0.19588974118232727,0.6,1.6975065767316813,0.5190927386283875,3,terra
IRF3,full,terra-lora-ep5,-0.26843783259391785,0.4,1.8178439035826854,0.5451874732971191,3,terra
IRF3,KO-specific,terra-lora-ep5,-0.4567238688468933,0.3,1.7130239301567152,0.41665393114089966,3,terra
IRF5,full,terra-lora-ep5,0.38933902978897095,0.5,1.5631683304817412,0.40483933687210083,3,terra
IRF5,KO-specific,terra-lora-ep5,-0.07273051887750626,0.4,1.5986889949558287,0.3673988878726959,3,terra
NFKBIA,full,terra-lora-ep5,-0.18341302871704102,0.4,1.700028121157318,0.7737392783164978,3,terra
